Nome da Música,link,album,letra
A Carta,/djavan/a-carta.html,Ao Vivo - Vols. 1 e 2,"Não vá levar tudo tão a sério Sentindo que dá, deixa correr Se souber confiar no seu critério Nada a temer Não vá levar tudo tão na boa Brigue para obter o melhor Se errar por amor Deus abençoa Seja você  No que sua crença vacilou A flor da dúvida se abriu Vou ler a carta que o Biel mandou Pra você, lá do Brasil:  ""Eles me disseram tanta asneira, disseram só besteira Feito todo mundo diz. Eles me disseram que a coleira e um prato de ração Era tudo o que um cão sempre quis Eles me trouxeram a ratoeira com um queijo de primeira Que me, que me pegou pelo nariz Me deram uma gaiola como casa, amarraram minhas asas E disseram para eu ser feliz  Mas como eu posso ser feliz num poleiro? Como eu posso ser feliz sem pular ? Mas como eu posso ser feliz num viveiro, Se ninguém pode ser feliz sem voar?  Ah, segurei o meu pranto para transformar em canto E para meu espanto minha voz desfez os nós Que me apertavam tanto E já sem a corda no pescoço, sem as grades na janela E sem o peso das algemas na mão Eu encontrei a chave dessa cela Devorei o meu problema e engoli a solução Ah, se todo o mundo pudesse saber Como é fácil viver fora dessa prisão E descobrisse que a tristeza tem fim E a felicidade pode ser simples como um aperto de mão  É esse o vírus que eu sugiro que você contraia Na procura pela cura da loucura, Quem tiver cabeça dura vai morrer na praia."""
A Idade do Céu,/djavan/a-idade-do-ceu.html,,Não somos mais Que uma gota de luz Uma estrela que cai Uma fagulha tão só Na idade do céu  Não somos o que queríamos ser Somos um breve pulsar Em um silêncio antigo Com a idade do céu  Calma Tudo está em calma Deixe que o beijo dure Deixe que o tempo cure Deixe que a alma Tenha a mesma idade Que a idade do céu  Não somos mais Que um punhado de mar Uma piada de Deus Ou um capricho do sol No jardim do céu  Não damos pé Entre tanto tic tac Entre tanto Big Bang Somos um grão de sal No mar do céu  Calma Tudo está em calma Deixe que o beijo dure Deixe que o tempo cure Deixe que a alma Tenha a mesma idade Que a idade do céu A mesma idade Que a idade do céu
A Noiva da Cidade,/djavan/a-noiva-da-cidade.html,,"""Tutu-Marambá não venha mais cá Que a mãe da criança te manda matar"" ""Tutu-Marambá não venha mais cá Que a mãe da criança te manda matar""  Ai, como essa moça é descuidada Com a janela escancarada Quer dormir impunemente Ou será que a moça lá no alto Não escuta o sobressalto Do coração da gente  Ai, quanto descuido o dessa moça Que papai tá lá na roça E mamãe foi passear E todo marmanjo da cidade Quer entrar Nos versos da cantiga de ninar Pra ser um Tutu-Marambá  Ai, como essa moça é distraída Sabe lá se está vestida Ou se dorme transparente Ela sabe muito bem que quando adormece Está roubando O sono de outra gente  Ai, quanta maldade a dessa moça E, que aqui ninguém nos ouça Ela sabe enfeitiçar Pois todo malandro da cidade Quer entrar Nos sonhos que ela gosta de sonhar E ser um Tutu-Marambá  ""Boi, boi, boi, boi da cara preta Pega essa menina que tem medo de careta"""
A Rosa,/djavan/a-rosa.html,,"Arrasa o meu projeto de vida Querida, estrela do meu caminho Espinho cravado em minha garganta Garganta A santa às vezes troca meu nome E some  E some nas altas da madrugada Coitada, trabalha de plantonista Artista, é doida pela Portela Ói ela Ói ela, vestida de verde e rosa  A Rosa garante que é sempre minha Quietinha, saiu pra comprar cigarro Que sarro, trouxe umas coisas do Norte Que sorte Que sorte, voltou toda sorridente  Demente, inventa cada carícia Egípcia, me encontra e me vira a cara Odara, gravou meu nome na blusa Abusa, me acusa Revista os bolsos da calça  A falsa limpou a minha carteira Maneira, pagou a nossa despesa Beleza, na hora do bom me deixa, se queixa A gueixa Que coisa mais amorosa A Rosa  Ah, Rosa, e o meu projeto de vida? Bandida, cadê minha estrela guia Vadia, me esquece na noite escura Mas jura Me jura que um dia volta pra casa  Arrasa o meu projeto de vida Querida, estrela do meu caminho Espinho cravado em minha garganta Garganta A santa às vezes me chama Alberto Alberto  Decerto sonhou com alguma novela Penélope, espera por mim bordando Suando, ficou de cama com febre Que febre A lebre, como é que ela é tão fogosa A Rosa  A Rosa jurou seu amor eterno Meu terno ficou na tinturaria Um dia me trouxe uma roupa justa Me gusta, me gusta Cismou de dançar um tango  Meu rango sumiu lá da geladeira Caseira, seu molho é uma maravilha Que filha, visita a família em Sampa Às pampa, às pampa Voltou toda descascada  A fada, acaba com a minha lira A gira, esgota a minha laringe Esfinge, devora a minha pessoa À toa, a boa Que coisa mais saborosa A Rosa  Ah, Rosa, e o meu projeto de vida? Bandida, cadê minha estrela guia? Vadia, me esquece na noite escura Mas jura Me jura que um dia volta pra casa"
A Rota do Indivíduo (Ferrugem),/djavan/a-rota-do-individuo-ferrugem.html,Coisa De Acender,"Mera luz Que invade a tarde cinzenta E algumas folhas deitam sobre a estrada O frio é o agasalho Que esquenta O coração gelado Quando venta Movendo a água abandonada Restos de sonho Sobre um novo dia Amores nos vagões Vagões nos trilhos Parece que quem parte é a ferrovia Que mesmo não te vendo te vigia Como mãe, como mãe Que dorme olhando os filhos Com os olhos na estrada E no mistério solitário da penugem Vejo a vida correndo parada Como se não existisse chegada Na tarde distante Ferrugem ou nada   © 1991 Luanda Edições Musicais Ltda. GPA Edições Musicais LTDA"
Aboio Blues,/djavan/aboio-blues.html,,"Eu fui no céu buscar meu pai Pra mostrar a escravidão E a mulher que eu encontrei Disse: Eu sou dona do teu coração  Bem vindo, meu menino Pra nadar nesse mar que é meu No entanto, é preciso Que você me tire o véu  Lancei no ar potente chama Pra livrar sua visão Amor, não vá vir a delírio Me perder na imensidão  Te entrego meu destino Quero em ti permanecer Silêncio cristalino Suavíssimo dever  Homem, deite no meu leito E observe a amplidão Que vive dentro do teu peito Bem juntinho da solidão  Te juro, doce amada Nunca vi a vida assim Agora eu sei que tudo é nada Com você dentro de mim  Te deixo, oh semente novinha A brilhar na escuridão Espelho meu, dei-lhe o que tinha Somos um na multidão"
Açaí,/djavan/acai.html,Ao Vivo - Vols. 1 e 2,"Solidão de manhã, poeira tomando assento Rajada de vento, som de assombração, coração Sangrando toda palavra sã  A paixão puro afã, místico clã de sereia Castelo de areia, ira de tubarão, ilusão O sol brilha por sí  Açaí, guardiã Zum de bezouro um imã Branca é a tez da manhã"
Acelerou,/djavan/acelerou.html,"Djavan na Pista, Etc","Acelerou /Djavan  Ando tão perdido em meus pensamentos Longe já se vão os meus dias de paz Hoje com a lua clara brilhando Vejo que o que sinto por ti é mais  Quando te vi, aquilo era quase o amor Você me acelerou, acelerou, me deixou desigual Chegou pra mim, me deu um daqueles sinais Depois desacelerou e eu fiquei muito mais  Sempre esperarei por ti, chegue quando Sonho em teus braços dormir, descansar Venha e a vida pra você será boa Cedo que é pra gente se amar a mais  Quando te vi, aquilo era quase o amor Você me acelerou, acelerou, me deixou desigual Chegou pra mim, me deu um daqueles sinais Depois desacelerou e eu fiquei muito mais  Quando te vi, aquilo era quase o amor Você me acelerou, acelerou, me deixou desigual Chegou pra mim, me deu um daqueles sinais Depois desacelerou e eu fiquei muito mais  Muito mais perdido, quase um cara vencido À mercê de amigo ou coisa que o valha Você me enlouquece, você bem que merece 'inda me aparece de minissaia  Sério, o que eu vou fazer, eu te amo Nada do que é você em mim se desfaz Mesmo sem saber o teu sobrenome Creio que te amar é pra sempre mais  Quando te vi, aquilo era quase o amor Você me acelerou, acelerou, me deixou desigual Chegou pra mim, me deu um daqueles sinais Depois desacelerou e eu fiquei muito mais...    ________________________________________________________________"
Acerto de Contas,/djavan/acerto-de-contas.html,Rua dos Amores,"Com você vivi De verdade, Eu digo tarde. Mas sei Que foi sempre muito bom! Só fiz coisas tontas, Nesse acerto de contas Quem paga É o meu coração  Você é tudo O que eu sonhei Agora eu sei, Me faz de novo respirar Outra madrugada já passou E você nem lô, Devastando a cidade  O verde da mata é outra cor Ao sentir que estou Lhe perdendo Nada é mais, Não sei mais O que vou dizer, Só quero poder lhe provar, Mostrar pra você Que eu mudei! Me deixa voltar  Com você vivi De verdade, Eu digo tarde. Mas sei Que foi sempre muito bom! Só fiz coisas tontas, Nesse acerto de contas Quem paga É o meu coração  Você é tudo O que eu sonhei Agora eu sei, Me faz de novo respirar Outra madrugada já passou E você nem lô, Devastando a cidade  O verde da mata é outra cor Ao sentir que estou Lhe perdendo Nada é mais, Não sei mais O que vou dizer, Só quero poder lhe provar, Mostrar pra você Que eu mudei! Me deixa voltar  Outra madrugada já passou E você nem lô, Devastando a cidade  O verde da mata é outra cor Ao sentir que estou Lhe perdendo Nada é mais, Não sei mais O que vou dizer, Só quero poder lhe provar, Mostrar pra você Que eu mudei! Me deixa voltar  Não sei mais O que vou dizer, Só quero poder lhe provar, Mostrar pra você Que eu mudei! Me deixa voltar  Dizer, Quero poder provar, Mudei!"
Adorava Me Ver Como Seu,/djavan/adorava-me-ver-como-seu.html,Matizes,"Será que alguém Saberá dizer Vendo de fora Como é viver Longe da mulher Que a gente adora Não há festa que chegue Pra tristeza ceder lugar Não sei se alguém Pode mensurar O que perdi De tanto sonho Que cultivei E não vivi Adorava me ver como seu Sempre adorei mas não deu Das vezes que contei Com uma virada Nada tenho a dizer Só cabeçada Cansei Time empatou Com o Madureira Deus, o que foi que eu fiz? Nasci Pra ser o amor E ela mela o jogo Me teve E não me quis.   (fonte: site oficial)"
