Nome da Música,link,album,letra
10.000 Destinos,/engenheiros-do-hawaii/10-000-destinos.html,Tchau Radar,"há mais de mil destinos em cada esquina outras vidas esperando em cada esquina há quase mil motivos pra gente ignorar o que ouve o que vê em cada esquina  uma vitrine muito bandeira um imã na geladeira alça de mira lente de aumento vampiro em frente ao espelho? porque será? me diz? porque será? que a gente cruza o rio atrás de água e diz que não está nem aí nem aí   gritos na torcida sinos na catedral uma palavra omitida no hino nacional tambores, motores pulso e coração um minuto de silêncio antes da explosão  porque será? me diz? porque será? que a gente cruza o rio atrás de água e diz que não está nem aí nem aí finge que não está nem aí  então porque será? me diz? porque será? que a gente cruza o rio atrás de água e diz que não está nem aí nem aí finge que não está nem aí  nem aí"
3 Minutos,/engenheiros-do-hawaii/3-minutos.html,Infinita Highway,"(by R.Shazzy)  Se você me der 3 minutos Vai entender o que eu sinto Eu não sou santo mas não minto (Não vou mentir) se você me der 3 minutos  Se você me der uma chance Não vou deixar que a gente dance Esqueça o que pensa que sabe Duvide da crença (e quem sabe?) Vai sentir o que eu sinto Se você me der 3 minutos  Só acredito no que pode ser dito em 3 minutos Por isso eu grito: só te peço 3 minutos  No caos, me sinto à vontade A tempestade é meu elemento No pampa o vento violino minuano Na fria janela de um apartamento  À espera do salto: perigo, suspense No alto inverno portoalegrense À espera do salto: perigo, suspense (yeeeeeeah)  Só acredito no que pode ser dito em 3 minutos Eu grito e repito: só te peço 3 minutos Só acredito no que pode ser dito em 3 minutos Eu grito e repito: só te peço 3 minutos Só acredito no que pode ser dito em 3 minutos Por isso eu peço aos quatro ventos: 3 minutos!"
3x4,/engenheiros-do-hawaii/3x4.html,Acústico MTV - Engenheiros do Hawaii,"Diga a verdade ao menos uma vez na vida Você se apaixonou pelos meus erros Não fique pela metade, Vá em frente minha amiga Destrua a razão deste beco sem saída  Diga a verdade ponha o dedo na ferida Você se apaixonou pelos meus erros E eu perdi as chaves, mas que cabeça minha Agora vai ter que ser para toda vida  Somos o que há de melhor... Somos o que dá pra fazer... O que não dá pra evitar, E não se pode escolher...  Se eu tivesse a força que você pensa que eu tenho Eu gravaria no metal da minha pele o teu desenho Feitos um pro outro Feitos pra durar Uma luz que não produz sombra  Somos o que há de melhor, Somos o que dá pra fazer O que não dá pra evitar, E não se pode esconder..."
3ª Do Plural,/engenheiros-do-hawaii/3-do-plural.html,Novo Millennium: Engenheiros do Hawaii,"Corrida pra vender cigarro Cigarro pra vender remédio Remédio pra curar a tosse Tossir, cuspir, jogar pra fora Corrida pra vender os carros Pneu, cerveja e gasolina Cabeça pra usar boné E professar a fé de quem patrocina  Eles querem te vender, eles querem te comprar Querem te matar, de rir ... querem te fazer chorar Quem são eles? Quem eles pensam que são? Quem são eles? Quem eles pensam que são?  Quem são eles? Quem são eles?  Corrida contra o relógio Silicone contra a gravidade Dedo no gatilho, velocidade Quem mente antes diz a verdade Satisfação garantida Obsolescência programada Eles ganham a corrida antes mesmo da largada  Eles querem te vender, eles querem te comprar Querem te matar, de rir ... querem te fazer chorar Quem são eles? Quem eles pensam que são? Quem são eles? Quem eles pensam que são?  Quem são eles? Quem são eles?  Vender... comprar... vedar os olhos Jogar a rede contra a parede Querem te deixar com sede Não querem te deixar pensar Quem são eles? Quem eles pensam que são? Quem são eles? Quem eles pensam que são?  Quem são eles? Quem são eles?"
9051,/engenheiros-do-hawaii/9051.html,,"Não quero jogar fora o pouco tempo que nos resta Não quero jogar lenha na fogueira das vaidades Só tenho uma ficha, uma única certeza: Ninguém vai aceitar chamadas a cobrar Ninguém vai aceitar chamadas a cobrar  Não adianta reclamar do pouco tempo que nos resta Nos resta aproveitar antes que seja tarde Só temos uma escolha: Um momento apenas ou a vida inteira pra se arrepender  Caiu, !a última ficha caiu! !vai cair a ponte! !nós vamos cair no rio! Águas vão rolar, o tempo vai passar E ninguém vai aceitar chamadas a cobrar Ninguém vai aceitar chamadas a cobrar Chamadas a cobrar"
98-99,/engenheiros-do-hawaii/98-99.html,,há quem faça as contas há quem vá às compras quando mais um ano chega ao fim  hora de escrever cartões hora de rever os planos mais um ano chega ao fim  que venha em paz o ano que vem que venha em paz o que o futuro trouxer  cai a neve nas vitrines e a gente derrete ao sol deste natal tropical  os cachorros da vizinhança vão latir sob os fogos de artifício pensarão que é o fim e será só o início  que venha em paz o ano que vem que venha em paz o que o futuro trouxer (2x)  há quem ignore o calendário há quem fique de olho no horário quando mais um ano chega ao fim  que venha em paz o ano que vem que venha em paz o que o futuro trouxer (3x)    Alyson (Nico)
A Conquista do Espaço,/engenheiros-do-hawaii/a-conquista-do-espaco.html,Infinita Highway,"Costas quentes (sempre em frente) Frente fria (sempre me frente) Sangue quente (sempre em frente) Demente sangria (sempre, sempre)  Passo a passo à eternidade Um passo em falso: a cara no chão Um grande passo pra humanidade Um pequeno veneno pra cada um de nós  - Lá do alto deve ser bonito! - Aqui de cima é muito legal... - No asfalto meus tênis derretem! - Aqui em cima nem frio nem calor...  Bola nas costas (sempre em frente) Atrás vem gente (sempre em frente) Sempre alerta (sangue frio) Sempre em frente (sempre, sempre)  Passo a passo-pégasus Pegadas pelo espaço a conquistar Bola de neve morro à baixo sempre em frente, pra cima, pro alto  - Lá do alto deve ser esquisito... - Aqui de cima até que é normal ... minha cabeça pesa quase dois séculos... - Meu corpo flutua, peso nenhum!  cara a cara (a conquista do espelho) passo à passo (a conquista do espaço)  - Lá do alto deve ser bonito! - Aqui de cima até que é normal... ...Minha cabeça presa entre dois mundos... -Meu corpo flutua: Mundo nenhum!  A mídia... A mediocracia Muito zorro e nenhum sargento garcia Francamente Há muito já não somos como já fomos: Todos iguais Iguais aos poucos que ainda andam Iguais a tantos que andam loucos Iguais a loucos que ainda andam Iguais a santos que andam loucos de satisfação Ouvindo pampa no walkman (descubro um passado que não me pertence) Ouvindo pampa no walkman (3rd world music, mito e nonsense) Ouvindo pampa no walkman (pertenço a um país que não me pertence) Ouvindo pampa no walkman (não sou gaúcho: sou portoalegrense)"
A Conquista do Espelho,/engenheiros-do-hawaii/a-conquista-do-espelho.html,Infinita Highway,"Eu roubei esses versos como quem rouba pão Com a mão urgente com urgência no coração Eu contei histórias, inventei vitórias Como quem tem preguiça Como quem faz justiça com as próprias mãos  Eu roubei quase tudo que eu tenho só pra chamar tua atenção E quando cheguei em casa, vi que lá morava um ladrão Eu perdi quase tudo que eu tinha A paz, a paciência A urgência que me levava pela mão  Uma noite interminável numa cela escura Sentido! Senhores... Censores sem poder de censura O ruído dos motores numa sala de torturas  Senhoras e Senhores... Censores sem talento sensorial  Nunca mais saiu da minha boca o gosto amargo da palavra traição Nunca mais saiu da minha boca nenhum elogio, nenhuma paixão Uma noite mal dormida Um país em maus lençóis  Sem sono Sem censura 100% de nada não é nada: É muito pouco!  Sem sono Sem censura 100% de nada não é nada: É muito pouco!"
A Fábula,/engenheiros-do-hawaii/a-fabula.html,,"Era uma vez um planeta mecânico, lógico, onde ninguem tinha dúvidas havia nome pra tudo e para tudo uma explicação até o pôr-do-sol sobre o mar era um gráfico  adivinhar o futuro não era coisa de mágico era um hábito burocrático, sempre igual explicar emoções não era nada ridículo, havia críticos com métodos práticos cá pra nós, tudo era muito chato era tudo tão sensato, difícil de aguentar todos nós sabiamos de cor como tudo começou e como iria terminar  mas de uma hora pra outra, tudo o que era tão sólido desabou, no final de um século raios de sol na madrugada de sábado, radical! foi a pá de cal.  Não sei mais de onde foi que eu vim porquê é que estou aqui, para onde devo ir cá pra nós, é bem melhor assim: desconhecer o início, ignorar o fim"
A Força do Silêncio,/engenheiros-do-hawaii/a-forca-do-silencio.html,,"Pra que tanta inteligência? Pra que tanta emoção? Qualquer coisa em excesso faz sucesso meu irmão Quanta gente com certeza Tanta gente sem noção Em excesso até o fracasso faz sucesso por aí E eu tenho fé na força do silêncio  Se as cores vão berrando no sol ensurdecedor Fecho os olhos? Outro mundo Vou morar no interior Transbordou a mesa ao lado Um tsunami arrasador Fecho os olhos? Outro mundo Vou morar no interior E eu tenho fé na força do silêncio  A fé que me faz Aceitar o tempo Muito além dos jornais E assim mergulhar no escuro Pular o muro Pra onda passar  Vi um punk na farmácia atrás de protetor solar Baile funk no plenário Ambulância quer passar Futebol, mesa-redonda, exorcista, camelô A onda agora é outra onda Um tsunami arrasador E eu tenho fé na força do silêncio  A fé que me faz Aceitar o tempo Muito além dos jornais E assim mergulhar no escuro Pular o muro Pra onda passar"
